,id,value,date
68,Pizza,59.99,2024-05-05
69,crunchyroll,15.0,2024-05-06
70,netflix,25.0,2024-05-06
71,Carangueijo,50.0,2024-05-09
72,Ice cream,21.0,2024-05-12
73,Ice cream,21.0,2024-05-13
74,Feijoada,24.99,2024-05-13
75,Lamen,19.99,2024-05-15
76,Carangueijo,50.0,2024-05-16
77,Feijoada,24.99,2024-05-17
78,Lamen,19.99,2024-05-17
79,gym,70.0,2024-05-20
80,Carangueijo,50.0,2024-05-30
81,Ice cream,21.0,2024-06-03
82,Lamen,19.99,2024-06-04
83,braces,100.0,2024-06-05
84,crunchyroll,15.0,2024-06-06
85,Carangueijo,50.0,2024-06-06
86,netflix,25.0,2024-06-06
87,Pizza,59.99,2024-06-12
88,Carangueijo,50.0,2024-06-13
89,Carangueijo,50.0,2024-06-13
90,Pizza,30.0,2024-06-16
91,Lamen,19.99,2024-06-17
92,gym,70.0,2024-06-20
93,Ice cream,21.0,2024-06-24
94,Feijoada,32.0,2024-06-24
95,Carangueijo,50.0,2024-06-27
96,Feijoada,24.99,2024-06-28
97,Carangueijo,50.0,2024-07-04
98,Feijoada,32.0,2024-07-05
99,braces,100.0,2024-07-05
100,Feijoada,32.0,2024-07-06
101,crunchyroll,15.0,2024-07-06
102,netflix,25.0,2024-07-06
103,Carangueijo,50.0,2024-07-11
104,Pizza,30.0,2024-07-11
105,Feijoada,32.0,2024-07-13
106,Feijoada,24.99,2024-07-14
107,Lamen,34.99,2024-07-14
108,Pizza,59.99,2024-07-14
109,Carangueijo,50.0,2024-07-18
110,gym,70.0,2024-07-20
111,Pizza,59.99,2024-07-21
112,Feijoada,24.99,2024-07-25
113,Ice cream,21.0,2024-07-28
114,Feijoada,32.0,2024-07-28
115,Lamen,19.99,2024-07-31
116,Feijoada,24.99,2024-08-01
117,Carangueijo,50.0,2024-08-01
118,Carangueijo,50.0,2024-08-01
119,braces,100.0,2024-08-05
120,netflix,25.0,2024-08-06
121,Feijoada,24.99,2024-08-06
122,crunchyroll,15.0,2024-08-06
123,Feijoada,32.0,2024-08-09
124,Feijoada,24.99,2024-08-14
125,Carangueijo,50.0,2024-08-15
126,health insurance,250.0,2024-08-15
127,Ice cream,21.0,2024-08-17
128,Pizza,30.0,2024-08-18
129,gym,85.0,2024-08-20
130,Lamen,19.99,2024-08-22
131,Feijoada,24.99,2024-08-22
132,Lamen,19.99,2024-08-24
133,Pizza,30.0,2024-08-27
134,Feijoada,24.99,2024-08-29
135,Pizza,30.0,2024-08-30
136,Feijoada,24.99,2024-09-03
137,braces,100.0,2024-09-05
138,netflix,25.0,2024-09-06
139,Feijoada,32.0,2024-09-09
140,Ice cream,21.0,2024-09-10
141,Feijoada,32.0,2024-09-12
142,Pizza,59.99,2024-09-14
143,health insurance,250.0,2024-09-15
144,Lamen,19.99,2024-09-18
145,Carangueijo,50.0,2024-09-19
146,Carangueijo,50.0,2024-09-19
147,gym,85.0,2024-09-20
148,Feijoada,24.99,2024-09-21
149,Pizza,59.99,2024-09-21
150,Feijoada,32.0,2024-09-21
151,Carangueijo,50.0,2024-09-26
152,Feijoada,32.0,2024-09-26
153,Lamen,19.99,2024-09-28
154,Pizza,59.99,2024-09-30
155,Carangueijo,50.0,2024-10-03
156,Carangueijo,50.0,2024-10-03
157,braces,100.0,2024-10-05
158,Feijoada,24.99,2024-10-06
159,netflix,25.0,2024-10-06
160,Lamen,19.99,2024-10-08
161,Carangueijo,50.0,2024-10-10
162,Feijoada,24.99,2024-10-11
163,Feijoada,32.0,2024-10-11
164,Pizza,30.0,2024-10-12
165,Lamen,34.99,2024-10-14
166,Ice cream,21.0,2024-10-15
167,health insurance,250.0,2024-10-15
168,Carangueijo,50.0,2024-10-17
169,gym,85.0,2024-10-20
170,Feijoada,24.99,2024-10-24
171,Lamen,34.99,2024-10-26
172,Pizza,59.99,2024-10-26
173,Pizza,30.0,2024-10-27
174,Pizza,30.0,2024-10-27
175,Lamen,19.99,2024-10-28
176,groceries,400,2024-11-01
177,Pizza,30.0,2024-11-03
178,braces,100.0,2024-11-05
179,Pizza,30.0,2024-11-05
180,crunchyroll,15.0,2024-11-06
181,netflix,25.0,2024-11-06
182,Ice cream,21.0,2024-11-09
183,Lamen,19.99,2024-11-09
184,Lamen,34.99,2024-11-10
185,Feijoada,24.99,2024-11-11
186,Carangueijo,50.0,2024-11-14
187,Carangueijo,50.0,2024-11-14
188,health insurance,250.0,2024-11-15
189,Feijoada,32.0,2024-11-19
190,gym,85.0,2024-11-20
191,Feijoada,32.0,2024-11-20
192,Pizza,59.99,2024-11-23
193,Pizza,59.99,2024-11-23
194,Lamen,19.99,2024-11-25
195,Lamen,34.99,2024-11-28
196,Carangueijo,50.0,2024-11-28
197,Carangueijo,50.0,2024-11-28
198,Feijoada,24.99,2024-11-28
199,groceries,400,2024-12-01
200,Pizza,30.0,2024-12-01
201,Feijoada,24.99,2024-12-02
202,braces,100.0,2024-12-05
203,netflix,25.0,2024-12-06
204,crunchyroll,15.0,2024-12-06
205,Lamen,34.99,2024-12-07
206,Ice cream,21.0,2024-12-08
207,Pizza,59.99,2024-12-09
208,Lamen,19.99,2024-12-09
209,Carangueijo,50.0,2024-12-12
210,Carangueijo,50.0,2024-12-12
211,Feijoada,24.99,2024-12-12
212,health insurance,250.0,2024-12-15
213,gym,85.0,2024-12-20
214,Lamen,19.99,2024-12-22
215,Carangueijo,50.0,2024-12-26
216,Carangueijo,50.0,2024-12-26
217,Feijoada,24.99,2024-12-27
218,Feijoada,32.0,2024-12-27
219,Pizza,30.0,2024-12-28
220,Pizza,59.99,2024-12-29
221,Lamen,19.99,2024-12-30
222,groceries,400,2025-01-01
223,Carangueijo,50.0,2025-01-02
224,Pizza,59.99,2025-01-05
225,Ice cream,21.0,2025-01-05
226,braces,100.0,2025-01-05
227,Lamen,19.99,2025-01-06
228,crunchyroll,15.0,2025-01-06
229,netflix,25.0,2025-01-06
230,Carangueijo,50.0,2025-01-09
231,health insurance,250.0,2025-01-15
232,Pizza,30.0,2025-01-19
233,Lamen,19.99,2025-01-19
234,gym,85.0,2025-01-20
235,Feijoada,24.99,2025-01-21
236,Carangueijo,50.0,2025-01-23
237,Feijoada,24.99,2025-01-25
238,Feijoada,32.0,2025-01-28
239,Lamen,34.99,2025-01-29
240,Pizza,59.99,2025-01-29
241,Feijoada,24.99,2025-01-29
242,Feijoada,24.99,2025-01-29
243,Carangueijo,50.0,2025-01-30
244,Carangueijo,50.0,2025-01-30
245,groceries,400,2025-02-01
246,braces,100.0,2025-02-05
247,netflix,25.0,2025-02-06
248,crunchyroll,15.0,2025-02-06
249,Carangueijo,50.0,2025-02-06
250,Carangueijo,50.0,2025-02-06
251,Feijoada,24.99,2025-02-06
252,Lamen,34.99,2025-02-09
253,Feijoada,24.99,2025-02-10
254,Lamen,19.99,2025-02-12
255,Pizza,59.99,2025-02-13
256,Carangueijo,50.0,2025-02-13
257,Carangueijo,50.0,2025-02-13
258,Pizza,59.99,2025-02-15
259,health insurance,250.0,2025-02-15
260,Feijoada,24.99,2025-02-16
261,Feijoada,32.0,2025-02-16
262,gym,85.0,2025-02-20
263,Carangueijo,50.0,2025-02-20
264,Ice cream,21.0,2025-02-21
265,Lamen,19.99,2025-02-23
266,Feijoada,24.99,2025-02-26
267,Drawing Tablet,1200.0,2025-02-26
268,Pizza,59.99,2025-02-27
269,Lamen,19.99,2025-03-01
270,groceries,400,2025-03-01
271,Ice cream,21.0,2025-03-03
272,braces,100.0,2025-03-05
273,netflix,25.0,2025-03-06
274,Carangueijo,50.0,2025-03-06
275,Carangueijo,50.0,2025-03-06
276,crunchyroll,15.0,2025-03-06
277,Pizza,59.99,2025-03-06
278,Lamen,19.99,2025-03-12
279,Feijoada,32.0,2025-03-12
280,Feijoada,32.0,2025-03-13
281,Carangueijo,50.0,2025-03-13
282,Pizza,59.99,2025-03-13
283,health insurance,250.0,2025-03-15
284,Carangueijo,50.0,2025-03-20
285,gym,85.0,2025-03-20
286,Feijoada,24.99,2025-03-21
287,Pizza,30.0,2025-03-26
288,Feijoada,32.0,2025-03-27
289,Carangueijo,50.0,2025-03-27
290,Lamen,34.99,2025-03-27
291,Feijoada,32.0,2025-03-30
292,groceries,400,2025-04-01
293,Pizza,59.99,2025-04-01
294,Lamen,19.99,2025-04-02
295,Pizza,59.99,2025-04-02
296,Feijoada,32.0,2025-04-03
297,Carangueijo,50.0,2025-04-03
298,Pizza,59.99,2025-04-04
299,braces,100.0,2025-04-05
300,Pizza,59.99,2025-04-05
301,Lamen,34.99,2025-04-06
302,netflix,25.0,2025-04-06
303,Ice cream,21.0,2025-04-06
304,Lamen,19.99,2025-04-07
305,Pizza,59.99,2025-04-09
306,Feijoada,32.0,2025-04-09
307,Ice cream,21.0,2025-04-10
308,Carangueijo,50.0,2025-04-10
309,Ice cream,21.0,2025-04-10
310,Carangueijo,50.0,2025-04-10
311,Carangueijo,50.0,2025-04-10
312,Ice cream,21.0,2025-04-11
313,Ice cream,21.0,2025-04-12
314,Lamen,19.99,2025-04-12
315,Pizza,59.99,2025-04-12
316,Feijoada,32.0,2025-04-13
317,Ice cream,21.0,2025-04-13
318,Ice cream,21.0,2025-04-14
319,Lamen,19.99,2025-04-14
320,health insurance,250.0,2025-04-15
321,Feijoada,32.0,2025-04-15
322,Ice cream,21.0,2025-04-15
323,Carangueijo,50.0,2025-04-17
324,Lamen,19.99,2025-04-17
325,Carangueijo,50.0,2025-04-17
326,Feijoada,24.99,2025-04-18
327,Pizza,30.0,2025-04-19
328,Ice cream,21.0,2025-04-19
329,Feijoada,32.0,2025-04-19
330,Feijoada,24.99,2025-04-20
331,Ice cream,21.0,2025-04-20
332,Lamen,34.99,2025-04-21
333,Ice cream,21.0,2025-04-23
334,Carangueijo,50.0,2025-04-24
335,Carangueijo,50.0,2025-04-24
336,Carangueijo,50.0,2025-04-24
337,Pizza,30.0,2025-04-24
338,Feijoada,24.99,2025-04-25
339,Pizza,30.0,2025-04-26
340,Lamen,34.99,2025-04-27
341,Pizza,30.0,2025-04-27
342,Pizza,59.99,2025-04-28
343,Pizza,30.0,2025-05-01
344,groceries,400,2025-05-01
345,Feijoada,24.99,2025-05-02
346,Ice cream,21.0,2025-05-02
347,Pizza,30.0,2025-05-04
348,Pizza,30.0,2025-05-04
349,braces,100.0,2025-05-05
350,Lamen,19.99,2025-05-05
351,netflix,35.0,2025-05-06
352,Feijoada,24.99,2025-05-06
353,Pizza,30.0,2025-05-07
354,Pizza,59.99,2025-05-07
355,Ice cream,21.0,2025-05-07
356,Carangueijo,50.0,2025-05-08
357,Carangueijo,50.0,2025-05-08
358,Carangueijo,50.0,2025-05-08
359,Lamen,19.99,2025-05-10
360,Lamen,34.99,2025-05-10
361,Ice cream,21.0,2025-05-11
362,Lamen,34.99,2025-05-11
363,Ice cream,21.0,2025-05-14
364,health insurance,250.0,2025-05-15
365,Feijoada,24.99,2025-05-15
366,Carangueijo,50.0,2025-05-15
367,Ice cream,21.0,2025-05-16
368,Lamen,34.99,2025-05-17
369,Ice cream,21.0,2025-05-17
370,Feijoada,24.99,2025-05-17
371,Ice cream,21.0,2025-05-17
372,Pizza,30.0,2025-05-17
373,Pizza,30.0,2025-05-18
374,Feijoada,24.99,2025-05-18
375,Lamen,19.99,2025-05-20
376,Ice cream,21.0,2025-05-20
377,Lamen,19.99,2025-05-20
378,Feijoada,24.99,2025-05-20
379,Feijoada,24.99,2025-05-22
380,Carangueijo,50.0,2025-05-22
381,Carangueijo,50.0,2025-05-22
382,Carangueijo,50.0,2025-05-22
383,Carangueijo,50.0,2025-05-22
384,Pizza,30.0,2025-05-25
385,Pizza,30.0,2025-05-25
386,Lamen,19.99,2025-05-25
387,Pizza,59.99,2025-05-26
388,Feijoada,24.99,2025-05-26
389,Ice cream,21.0,2025-05-27
390,Carangueijo,50.0,2025-05-29
391,Ice cream,21.0,2025-05-29
392,Ice cream,21.0,2025-05-29
393,Pizza,30.0,2025-05-31
394,Pizza,30.0,2025-06-01
395,groceries,550,2025-06-01
396,Lamen,34.99,2025-06-02
397,italian course,320.0,2025-06-02
398,Lamen,19.99,2025-06-02
399,Feijoada,24.99,2025-06-03
400,Ice cream,21.0,2025-06-05
401,Ice cream,21.0,2025-06-05
402,Carangueijo,50.0,2025-06-05
403,Ice cream,21.0,2025-06-05
404,braces,100.0,2025-06-05
405,netflix,35.0,2025-06-06
406,Pizza,59.99,2025-06-06
407,Feijoada,24.99,2025-06-07
408,Feijoada,24.99,2025-06-08
409,Lamen,19.99,2025-06-09
410,Pizza,59.99,2025-06-09
411,Pizza,30.0,2025-06-10
412,Pizza,59.99,2025-06-10
413,gym,85.0,2025-06-10
414,Feijoada,24.99,2025-06-11
415,Carangueijo,50.0,2025-06-12
416,Carangueijo,50.0,2025-06-12
417,Feijoada,24.99,2025-06-12
418,Lamen,19.99,2025-06-12
419,Carangueijo,50.0,2025-06-12
420,Pizza,30.0,2025-06-13
421,Pizza,59.99,2025-06-14
422,Ice cream,21.0,2025-06-14
423,Ice cream,21.0,2025-06-15
424,health insurance,250.0,2025-06-15
425,Ice cream,21.0,2025-06-16
426,Lamen,34.99,2025-06-16
427,Feijoada,24.99,2025-06-17
428,Carangueijo,50.0,2025-06-19
429,Ice cream,21.0,2025-06-19
430,Carangueijo,50.0,2025-06-19
431,Lamen,19.99,2025-06-20
432,Feijoada,24.99,2025-06-21
433,Ice cream,21.0,2025-06-21
434,Feijoada,32.0,2025-06-22
435,Ice cream,21.0,2025-06-24
436,Lamen,19.99,2025-06-24
437,Carangueijo,50.0,2025-06-26
438,Carangueijo,50.0,2025-06-26
439,Carangueijo,50.0,2025-06-26
440,Ice cream,21.0,2025-06-26
441,Pizza,30.0,2025-06-28
442,Ice cream,21.0,2025-06-28
443,Pizza,30.0,2025-06-29
444,Lamen,34.99,2025-06-29
445,Pizza,59.99,2025-06-29
446,Pizza,59.99,2025-06-30
447,groceries,550,2025-07-01
448,Pizza,30.0,2025-07-01
449,italian course,320.0,2025-07-02
450,Carangueijo,50.0,2025-07-03
451,Lamen,19.99,2025-07-05
452,Lamen,19.99,2025-07-05
453,netflix,35.0,2025-07-06
454,Pizza,30.0,2025-07-08
455,gym,85.0,2025-07-10
456,Feijoada,32.0,2025-07-10
457,Pizza,30.0,2025-07-10
458,Carangueijo,50.0,2025-07-10
459,Ice cream,21.0,2025-07-11
460,Pizza,30.0,2025-07-12
461,Lamen,19.99,2025-07-13
462,health insurance,300.0,2025-07-15
463,Carangueijo,50.0,2025-07-17
464,Ice cream,21.0,2025-07-19
465,Feijoada,24.99,2025-07-20
466,Carangueijo,50.0,2025-07-24
467,Feijoada,24.99,2025-07-27
468,groceries,550,2025-08-01
469,italian course,320.0,2025-08-02
470,Pizza,30.0,2025-08-03
471,Ice cream,21.0,2025-08-03
472,netflix,35.0,2025-08-06
473,Carangueijo,50.0,2025-08-07
474,Carangueijo,50.0,2025-08-07
475,Lamen,19.99,2025-08-08
476,Lamen,19.99,2025-08-08
477,Feijoada,32.0,2025-08-08
478,Pizza,30.0,2025-08-09
479,gym,85.0,2025-08-10
480,Lamen,19.99,2025-08-11
481,Carangueijo,50.0,2025-08-14
482,Pizza,59.99,2025-08-14
483,health insurance,300.0,2025-08-15
484,Feijoada,32.0,2025-08-16
485,Ice cream,21.0,2025-08-17
486,Feijoada,32.0,2025-08-28
487,Carangueijo,50.0,2025-08-28
488,Pizza,30.0,2025-08-31
489,groceries,550,2025-09-01
490,italian course,320.0,2025-09-02
491,Pizza,30.0,2025-09-04
492,netflix,35.0,2025-09-06
493,Feijoada,24.99,2025-09-07
494,gym,85.0,2025-09-10
495,Lamen,19.99,2025-09-11
496,Pizza,59.99,2025-09-14
497,health insurance,300.0,2025-09-15
498,Lamen,19.99,2025-09-15
499,Carangueijo,50.0,2025-09-18
500,Pizza,30.0,2025-09-21
501,Ice cream,21.0,2025-09-22
502,Ice cream,21.0,2025-09-22
503,Feijoada,24.99,2025-09-23
504,Carangueijo,50.0,2025-09-25
505,Carangueijo,50.0,2025-09-25
506,Carangueijo,50.0,2025-09-25
507,Lamen,19.99,2025-09-28
508,Pizza,30.0,2025-09-28
509,Feijoada,32.0,2025-09-29
510,groceries,550,2025-10-01
511,italian course,320.0,2025-10-02
512,netflix,35.0,2025-10-06
513,Pizza,30.0,2025-10-07
514,Feijoada,24.99,2025-10-07
515,Ice cream,21.0,2025-10-09
516,Carangueijo,50.0,2025-10-09
517,Carangueijo,50.0,2025-10-09
518,Carangueijo,50.0,2025-10-09
519,gym,85.0,2025-10-10
520,Pizza,30.0,2025-10-11
521,Pizza,30.0,2025-10-14
522,health insurance,300.0,2025-10-15
523,Lamen,19.99,2025-10-23
524,Feijoada,32.0,2025-10-26
525,Lamen,19.99,2025-10-29
526,groceries,550,2025-11-01
527,italian course,320.0,2025-11-02
528,Pizza,59.99,2025-11-03
529,Pizza,30.0,2025-11-03
530,netflix,35.0,2025-11-06
531,Lamen,34.99,2025-11-08
532,Pizza,30.0,2025-11-08
533,gym,85.0,2025-11-10
534,Lamen,34.99,2025-11-10
535,Feijoada,24.99,2025-11-11
536,Carangueijo,50.0,2025-11-13
537,Feijoada,32.0,2025-11-13
538,health insurance,300.0,2025-11-15
539,Carangueijo,50.0,2025-11-20
540,Ice cream,21.0,2025-11-25
541,Carangueijo,50.0,2025-11-27
542,groceries,550,2025-12-01
543,netflix,35.0,2025-12-06
544,gym,85.0,2025-12-10
545,Feijoada,24.99,2025-12-11
546,Pizza,30.0,2025-12-12
547,Pizza,30.0,2025-12-13
548,health insurance,300.0,2025-12-15
549,Carangueijo,50.0,2025-12-18
550,Ice cream,21.0,2025-12-22
551,Carangueijo,50.0,2025-12-25
552,Lamen,19.99,2025-12-25
553,Lamen,19.99,2025-12-25
554,Carangueijo,50.0,2025-12-25
555,Pizza,59.99,2025-12-26
556,Feijoada,32.0,2025-12-30
